wochentag,isferienzh,ferien_desc_zh,isferiensg,ferien_desc_sg,isferiengr,ferien_desc_gr,feiertag_desc,isfeiertag_zh,isfeiertag_sg,isfeiertag_gr,t_2m_c_avg,snow_depth_cm_avg,visibility_m_avg,wind_speed_10m_ms_max,prob_precip_1h_p_avg,prob_tstorm_1h_p_avg,hail_idx_avg,wind_gusts_10m_ms_max,wind_speed_mean_10m_24h_ms_avg,t_max_2m_24h_c_max,t_min_2m_24h_c_min,precip_24h_mm_max,fresh_snow_24h_cm_max,is_sleet_1h_idx_max,is_fog_1h_idx_max,precip_1h_mm_sum,fresh_snow_1h_cm_sum,wind_speed_mean_10m_1h_ms_avg,weather_symbol_1h_idx_spe,number_of_events,schalter,day_count,sin_weekday,cos_weekday,sin_yearday,cos_yearday
3,0,0,0,3,1,2,0,0,0,0,8.65,0,30013,1.575,1,7.075,0,3.4,2.5,12,-0.2,0,0,0,0,0,0,7.9,4.1,2,34,164,0.43388373911755823,-0.900968867902419,0.3131070409358269,-0.9497178427914316
4,0,0,0,3,1,2,17,1,1,1,7.65,1.2,30032.75,1.2,1,32.65,0,4.4,2.9,10.4,0.5,0,0,0,0,0,0,9.4,1.5,0,11,165,-0.433883739117558,-0.9009688679024191,0.29671281927349075,-0.9549667548552551
5,0,0,0,3,1,2,0,0,0,0,6.95,11.175,30027.25,1.925,1,1,0,6.8,1.6,10.1,-1.4,0,0,0,0,0,0,9.7,3.2,0,20,166,-0.9749279121818235,-0.2225209339563146,0.28023067519921585,-0.9599326896597447
6,0,0,0,3,1,2,0,0,0,0,5.25,23.275,30031.75,0.775,1,1,0,3.9,2.3,8.6,-2.4,0,0,0,0,0,0,7.8,0,0,12,167,-0.7818314824680299,0.6234898018587334,0.26366549272800704,-0.9646141756912435
7,0,0,0,3,1,2,0,0,0,0,4.425,26.15,30027.75,1.425,1,1,0,4.1,2.2,8.2,-7.3,0,0,0,0,0,0,8.2,0,0,18,168,-2.4492935982947064e-16,1,0.24702218048093552,-0.9690098257244062
1,0,0,0,3,1,2,0,0,0,0,0.7,24.575,22533.75,1.525,1,1,0,6.4,6.5,-0.8,-5.8,0.39,0,0,1,0,0,11,1.8,0,11,169,0.7818314824680297,0.6234898018587336,0.23030567023061221,-0.9731183372332619
2,0,0,0,3,1,2,0,0,0,0,-3.225,34.3,21604,6.075,1,1,0,11.6,4.8,3.6,-5.9,1.05,0.5,0,0,0.05,0,26.7,0,0,5,170,0.9749279121818236,-0.22252093395631434,0.21352091543979612,-0.9769384927771817
3,0,0,0,3,1,2,0,0,0,0,-0.4,39.175,23950.25,2.8,2.075,1,0,10.9,5,1.5,-4.7,0,0,0,0,0.18,0,12.4,1.6,0,9,171,0.43388373911755823,-0.900968867902419,0.19667288979357647,-0.980469160361632
4,0,0,0,3,0,0,0,0,0,0,1.39e-17,30.5,20649.25,4.925,1,1,0,8.4,6.5,2.7,-1.6,0,0,0,0,0,0,20.7,0,0,10,172,-0.433883739117558,-0.9009688679024191,0.17976658572556237,-0.9837092937736097
5,0,0,0,3,0,0,0,0,0,0,1.625,25.075,15848.25,5.625,1,1,0,10.3,4.1,3.4,0.1,1.43,0.3,0,1,0,0,24.2,0,0,7,173,-0.9749279121818235,-0.2225209339563146,0.16280701293851713,-0.986657932891657
6,0,0,0,3,0,0,0,0,0,0,2,29.45,13249.75,4.15,2.475,1,0,8.4,2.3,5.2,-2.1,3.74,0.5,0,0,0.42,0,13.7,0,0,11,174,-0.7818314824680299,0.6234898018587334,0.14579919691987508,-0.9893142039703663
7,0,0,0,3,0,0,0,0,0,0,1.725,34.55,17402.75,2.875,5.7,1,0,4.7,4,3.8,-0.9,0,0,0,0,0.25,0,8.8,0,0,6,175,-2.4492935982947064e-16,1,0.12874817745258132,-0.99167731989929
1,0,0,0,3,0,0,18,1,0,0,1.75,40.025,24180.75,3.45,1,1,0,8.3,2.1,4.6,-2.4,0.56,0,0,0,0,0,15.5,0,0,17,176,0.7818314824680297,0.6234898018587336,0.11165900712169512,-0.993746580436178
2,0,0,0,3,0,0,0,0,0,0,2.6,53.475,27051.5,2.225,1,1,0,5.8,2.7,7.2,-4,0,0,0,0,0,0,9.9,1,1,19,177,0.9749279121818236,-0.22252093395631434,0.09453674981719913,-0.9955213724144752
3,0,0,1,1,0,0,0,0,0,0,3.825,57.825,30024.75,1.375,1,1,0,5,2.3,5.3,-9,0,0,0,0,0,0,8.3,1.7,1,13,178,0.43388373911755823,-0.900968867902419,0.07738647923346302,-0.9970011699250151
4,0,0,1,1,0,0,0,0,0,0,-1.825,42.5,24128,1.675,1,1,0,8.6,7.4,4.4,-6.2,35.93,28.1,0,0,0,0,12,0,1,18,179,-0.433883739117558,-0.9009688679024191,0.06021327736579302,-0.9981855344718586
5,0,0,1,1,0,0,19,0,0,0,0.2,2.525,30020.75,5.85,46.425,1,0,20.6,8.7,5.4,0.7,3.24,0,0,0,5.68,3.6,39.3,0,0,11,180,-0.9749279121818235,-0.2225209339563146,0.04302223300453059,-0.99907411510223
6,0,0,1,1,0,0,0,0,0,0,3.975,4.525,30025,4.25,1,1,0,15.8,4.2,8.4,-2.6,0.13,0,0,0,0.13,0,32.2,0,0,9,181,-0.7818314824680299,0.6234898018587334,0.02581844022713308,-0.9996666485105112
7,0,0,1,1,0,0,0,0,0,0,5.575,11.675,23476.25,1.85,1,1,0,8.4,2.4,10.2,-6.3,0,0,0,0,0,0,12.3,0,0,9,182,-2.4492935982947064e-16,1,0.0086069968886887,-0.9999629591162655
1,0,0,1,1,0,0,0,0,0,0,4.675,22.925,29997,2,1,1,0,6,3,8.6,-5.4,0,0,0,0,0,0,7.8,0,0,7,183,0.7818314824680297,0.6234898018587336,-0.008606996888688009,-0.9999629591162655
2,0,0,1,1,0,0,20,1,1,1,2.85,29.425,30015.25,2.25,1,6.625,0,4,2.1,10.3,-6.8,0,0,0,0,0,0,10.8,0,0,11,184,0.9749279121818236,-0.22252093395631434,-0.025818440227132394,-0.9996666485105112
